user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy,style
¿Qué género tiene Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego Mystopia pertenece al género Sandbox y fue desarrollado por Last Minute Studios']",Microjuego pertenece al género FPS.,FPS,0.9999999999,1.0,1.0,,zero_shot
¿Quién desarrolló Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC', 'El jugador U060 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U020 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103']",TFMGrafos,,0.0,,1.0,,zero_shot
¿A qué género pertenece Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC']",Microjuego pertenece al género FPS.,FPS,0.9999999999,1.0,1.0,0.9469927614176533,zero_shot
¿Qué estudio desarrolló Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El jugador U020 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103']",TFMGrafos,TFMGrafos,0.9999999999,1.0,0.0,0.7451768324637613,zero_shot
Indica el género de Microjuego.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego CONERU -DIMENSION GIRL- pertenece al género RPG y fue desarrollado por HIKE Inc.']",FPS,FPS,0.9999999999,1.0,1.0,0.7090111537522009,zero_shot
Dime el estudio que desarrolló Microjuego.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC']",TFMGrafos,,0.0,,1.0,0.7396341686224773,few_shot
¿A qué género pertenece Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC']",Microjuego pertenece al género FPS.,FPS,0.9999999999,1.0,1.0,0.9469927614176533,few_shot
Indica el estudio de Microjuego.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El jugador U020 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U060 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U060 registró una actividad en 2025-09-13 del juego Microjuego en el servidor S1 con la versión V103']",El estudio de Microjuego es TFMGrafos.,TFMGrafos,0.9999999999,1.0,1.0,,few_shot
¿A qué género pertenece Microjuego?,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Metro Mini Market Simulator pertenece al género Management y fue desarrollado por Altai Entertainment', 'El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC']",Microjuego pertenece al género FPS.,FPS,0.9999999999,1.0,1.0,,few_shot
Indica el estudio de Microjuego.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El jugador U020 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U060 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U060 registró una actividad en 2025-09-13 del juego Microjuego en el servidor S1 con la versión V103']",El estudio de Microjuego es TFMGrafos.,TFMGrafos,0.9999999999,1.0,1.0,,few_shot
Cita un ejemplo del contexto donde un jugador registre una actividad e indica el juego.,"['El jugador U004 registró una actividad en 2025-09-20 del juego Microjuego en el servidor S3 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-20 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U001 registró una actividad en 2025-09-20 del juego Microjuego en el servidor S2 con la versión V103', 'El jugador U001 registró una actividad en 2025-09-15 del juego Microjuego en el servidor S2 con la versión V103']",El jugador U004 registró una actividad en 2025-09-20 del juego Microjuego en el servidor S3 con la versión V103.,jugador. actividad,0.0,1.0,1.0,,self_verification
Menciona un ejemplo de actividad que indique servidor.,"['El jugador U017 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-04 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-15 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-17 del juego Microjuego en el servidor S1 con la versión V103']",El jugador U017 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S1 con la versión V103.,servidor,0.999999999975,1.0,1.0,,self_verification
Menciona un ejemplo de actividad que indique versión.,"['El jugador U017 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-04 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-05 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-20 del juego Microjuego en el servidor S1 con la versión V103']",El jugador U017 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S1 con la versión V103.,versión,0.999999999975,1.0,1.0,,self_verification
Indica un ejemplo de actividad con la fecha o número de sesión.,"['El jugador U001 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S2 con la versión V103', 'El jugador U001 registró una actividad en 2025-09-15 del juego Microjuego en el servidor S2 con la versión V103', 'El jugador U001 registró una actividad en 2025-08-31 del juego Microjuego en el servidor S2 con la versión V102', 'El jugador U001 registró una actividad en 2025-09-12 del juego Microjuego en el servidor S2 con la versión V103']",El jugador U001 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S2 con la versión V103.,sesión,0.9999999999666667,0.0,1.0,0.8146390274935742,self_verification
Resume en una frase una actividad cualquiera del contexto (jugador + juego).,"['El jugador U017 registró una actividad en 2025-09-19 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-09 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-20 del juego Microjuego en el servidor S1 con la versión V103', 'El jugador U017 registró una actividad en 2025-09-14 del juego Microjuego en el servidor S1 con la versión V103']",El jugador U017 registró una actividad en el juego Microjuego en el servidor S1 el 19 de septiembre de 2025.,jugador. actividad,0.249999999975,1.0,1.0,,self_verification
Devuelve un ejemplo de juego y su género del contexto.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego to a T pertenece al género Adventure y fue desarrollado por uvula LLC', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Mystopia pertenece al género Sandbox y fue desarrollado por Last Minute Studios']","Microjuego, género FPS.",género,0.0,1.0,1.0,,chain_of_thought
Devuelve un ejemplo de juego y su estudio del contexto.,"['El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC', 'El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Black Myth: Wukong pertenece al género Action y fue desarrollado por Game Science']",El juego to a T pertenece al género Puzzle y fue desarrollado por uvula LLC.,estudio,0.0,0.0,1.0,0.7881109114407595,chain_of_thought
Indica el género y el estudio de Microjuego en una sola frase.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Mystopia pertenece al género Sandbox y fue desarrollado por Last Minute Studios', 'El juego CONERU -DIMENSION GIRL- pertenece al género RPG y fue desarrollado por HIKE Inc.']",Microjuego es un FPS desarrollado por TFMGrafos.,FPS. TFMGrafos,0.9999999999,1.0,1.0,,chain_of_thought
Indica el género y el estudio de Microjuego en una sola frase.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Mystopia pertenece al género Sandbox y fue desarrollado por Last Minute Studios', 'El juego CONERU -DIMENSION GIRL- pertenece al género RPG y fue desarrollado por HIKE Inc.']",Microjuego es un FPS desarrollado por TFMGrafos.,FPS. TFMGrafos,0.9999999999,1.0,1.0,0.8355862279196189,chain_of_thought
Menciona otro juego distinto a Microjuego y su estudio.,"['El juego Microjuego pertenece al género FPS y fue desarrollado por TFMGrafos', 'El juego Mystopia pertenece al género Sandbox y fue desarrollado por Last Minute Studios', 'El juego Metro Mini Market Simulator pertenece al género Simulation y fue desarrollado por Altai Entertainment', 'El juego Mystopia pertenece al género Building y fue desarrollado por Last Minute Studios']","Mystopia, desarrollado por Last Minute Studios.",estudio,0.0,0.0,1.0,0.7471213496562296,chain_of_thought
